  0.500000000      0.563652217       3.10649266E-05   1.99922306E-06
  0.563652217      0.635407627       3.17284903E-05   2.06029495E-06
  0.635407627      0.716297805       3.60701124E-05   1.76893366E-06
  0.716297805      0.807485640       3.07499395E-05   1.68259078E-06
  0.807485640      0.910282075       1.27008689E-05   1.67682413E-06
  0.910282075       1.02616501       5.09212157E-07   1.83060240E-06
   1.02616501       1.15680027      -2.21827531E-06   1.91607751E-06
   1.15680027       1.30406606      -6.07890024E-06   2.07106336E-06
   1.30406606       1.47007942      -9.89708769E-06   2.30659703E-06
   1.47007942       1.65722704      -1.42526087E-05   2.64502319E-06
   1.65722704       1.86819935      -1.20565564E-05   2.96903659E-06
   1.86819935       2.10602927      -9.81434187E-06   3.52232223E-06
   2.10602927       2.37413597      -8.47636875E-06   4.42871396E-06
   2.37413597       2.67637396      -9.66043626E-06   5.55913448E-06
   2.67637396       3.01708817      -5.44494242E-06   6.42054465E-06
   3.01708817       3.40117669       1.19328877E-06   7.47952890E-06
   3.40117669       3.83416152      -8.39915538E-06   9.03757609E-06
   3.83416152       4.32226706      -1.49892476E-05   1.09902521E-05
   4.32226706       4.87251091       2.31919203E-05   1.38585347E-05
   4.87251091       5.49280262       2.28324297E-05   1.79098261E-05
   5.49280262       6.19206047       1.62561249E-04   2.37364620E-05
   6.19206047       6.98033714       2.31983926E-04   3.23537570E-05
   6.98033714       7.86896467       2.64073664E-04   4.53301618E-05
   7.86896467       8.87071896       1.96676890E-04   6.57565906E-05
   8.87071896       10.0000000       1.87892831E-04   1.04884501E-04
