 skip on
 read serr 1 2
  0.531826138       3.18261087E-02  -2.90121627E-03   1.20922123E-04  -2.60192296E-03
  0.599529922       3.58777046E-02  -2.47753412E-03   1.19310716E-04  -2.49628653E-03
  0.675852716       4.04450893E-02  -2.13132892E-03   1.15479350E-04  -2.38855090E-03
  0.761891723       4.55939174E-02  -1.97130162E-03   1.13919967E-04  -2.23099836E-03
  0.858883858       5.13982177E-02  -2.17681867E-03   1.13080721E-04  -2.19563860E-03
  0.968223572       5.79414666E-02  -1.83896674E-03   1.13042748E-04  -1.96882477E-03
   1.09148264       6.53176308E-02  -1.58326165E-03   1.12648406E-04  -1.62980577E-03
   1.23043323       7.36328959E-02  -1.15757983E-03   1.12484806E-04  -1.20879826E-03
   1.38707280       8.30066800E-02  -1.06439530E-03   1.12520007E-04  -8.33639759E-04
   1.56365323       9.35738087E-02  -5.50062163E-04   1.12793023E-04  -4.69750637E-04
   1.76271319      0.105486155       1.10951776E-04   1.12916445E-04  -6.58529325E-06
   1.98711431      0.118914962       2.42732232E-04   1.13602022E-04   4.35921364E-04
   2.24008274      0.134053349       7.21550547E-04   1.15198724E-04   9.27753106E-04
   2.52525496      0.151118994       1.41744746E-03   1.17417927E-04   1.55540532E-03
   2.84673119      0.170357108       2.16011959E-03   1.18371601E-04   2.09060055E-03
   3.20913243      0.192044258       2.99103255E-03   1.19755648E-04   2.74696038E-03
   3.61766911      0.216492414       3.27113946E-03   1.22286670E-04   3.40051576E-03
   4.07821417      0.244052768       4.05878946E-03   1.25538834E-04   4.07755747E-03
   4.59738922      0.275121927       4.87885717E-03   1.31062989E-04   4.78427159E-03
   5.18265676      0.310145855       5.50974673E-03   1.39402109E-04   5.52001456E-03
   5.84243155      0.349628925       6.30184775E-03   1.51822489E-04   6.28076540E-03
   6.58619881      0.394138336       6.96713291E-03   1.70449537E-04   7.02974526E-03
   7.42465115      0.444313765       7.36083975E-03   2.01651623E-04   7.55120348E-03
   8.36984158      0.500877142       9.30935051E-03   2.58741027E-04   9.07001551E-03
   9.43535995      0.564640522       1.00860689E-02   3.59852420E-04   1.00382995E-02
