  0.500000000      0.530872941       2.84873113E-05   3.34396532E-07
  0.530872941      0.563652217       3.37587662E-05   4.21073480E-07
  0.563652217      0.598455429       4.67160498E-05   4.74407017E-07
  0.598455429      0.635407627       5.80553133E-05   4.11611779E-07
  0.635407627      0.674641430       6.46893532E-05   3.78144080E-07
  0.674641430      0.716297805       5.81188542E-05   3.62117873E-07
  0.716297805      0.760526240       4.17500305E-05   3.21327917E-07
  0.760526240      0.807485640       3.37518177E-05   3.36938598E-07
  0.807485640      0.857344568       3.12295670E-05   3.12433627E-07
  0.857344568      0.910282075       2.76967694E-05   3.03982631E-07
  0.910282075      0.966488302       2.28764293E-05   3.28063720E-07
  0.966488302       1.02616501       1.92553962E-05   3.20207477E-07
   1.02616501       1.08952653       1.67319868E-05   3.30802123E-07
   1.08952653       1.15680027       1.47994633E-05   3.34391871E-07
   1.15680027       1.22822797       1.35289420E-05   3.51786127E-07
   1.22822797       1.30406606       1.39201265E-05   3.64405622E-07
   1.30406606       1.38458681       1.65706169E-05   3.89272685E-07
   1.38458681       1.47007942       1.72337550E-05   4.07145734E-07
   1.47007942       1.56085086       1.73980843E-05   4.34484349E-07
   1.56085086       1.65722704       1.79351100E-05   4.67301959E-07
   1.65722704       1.75955403       1.98603066E-05   4.90886862E-07
   1.75955403       1.86819935       2.38293651E-05   5.21441507E-07
   1.86819935       1.98355293       2.47030130E-05   5.66348547E-07
   1.98355293       2.10602927       1.76959802E-05   6.11293615E-07
   2.10602927       2.23606801       1.48546642E-05   6.61967249E-07
   2.23606801       2.37413597       1.70845069E-05   7.73281840E-07
   2.37413597       2.52072930       2.41790967E-05   8.36338870E-07
   2.52072930       2.67637396       2.56116746E-05   8.99061547E-07
   2.67637396       2.84162927       2.05224460E-05   9.52240555E-07
   2.84162927       3.01708817       1.91168856E-05   1.03671937E-06
   3.01708817       3.20338106       2.15442979E-05   1.10207452E-06
   3.20338106       3.40117669       2.34177078E-05   1.19972356E-06
   3.40117669       3.61118555       2.45624651E-05   1.31193588E-06
   3.61118555       3.83416152       2.77951694E-05   1.43775651E-06
   3.83416152       4.07090521       2.79565684E-05   1.56593740E-06
   4.07090521       4.32226706       3.03138895E-05   1.74613149E-06
   4.32226706       4.58914948       3.34865654E-05   1.96119868E-06
   4.58914948       4.87251091       4.19892203E-05   2.16399440E-06
   4.87251091       5.17336845       4.67015270E-05   2.47790308E-06
   5.17336845       5.49280262       6.20206265E-05   2.82560745E-06
   5.49280262       5.83196068       8.13956503E-05   3.26305803E-06
   5.83196068       6.19206047       1.42757315E-04   3.86394549E-06
   6.19206047       6.57439518       2.02422059E-04   4.59239345E-06
   6.57439518       6.98033714       1.98771682E-04   5.30839407E-06
   6.98033714       7.41134453       1.36684001E-04   6.13928296E-06
   7.41134453       7.86896467       1.00963938E-04   7.32918852E-06
   7.86896467       8.35484123       1.33508322E-04   8.79986328E-06
   8.35484123       8.87071896       1.50536071E-04   1.09223938E-05
   8.87071896       9.41844940       1.62632845E-04   1.40156171E-05
   9.41844940       10.0000000       1.81852884E-04   1.81628038E-05
