 skip on
 read serr 1 2
  0.531826138       3.18261087E-02   3.72079812E-04   5.06296128E-05   3.30974464E-04
  0.599529922       3.58777046E-02   4.12082591E-04   4.82022879E-05   3.36592377E-04
  0.675852716       4.04450893E-02   2.21998955E-04   4.20810793E-05   2.53355101E-04
  0.761891723       4.55939174E-02   1.60514654E-04   3.93017654E-05   1.64143072E-04
  0.858883858       5.13982177E-02   3.79317753E-05   3.76487551E-05  -4.48301398E-05
  0.968223572       5.79414666E-02  -1.30665503E-04   3.74014780E-05  -1.44046440E-04
   1.09148264       6.53176308E-02  -1.40002157E-04   3.66412314E-05  -1.85443379E-04
   1.23043323       7.36328959E-02  -1.34430884E-04   3.62810679E-05  -1.61050310E-04
   1.38707280       8.30066800E-02  -2.13052990E-04   3.62462488E-05  -1.29350577E-04
   1.56365323       9.35738087E-02  -6.61889499E-05   3.65502347E-05  -9.85167280E-05
   1.76271319      0.105486155      -1.16664109E-04   3.66169006E-05  -5.12971601E-05
   1.98711431      0.118914962       7.66164449E-05   3.74117626E-05   2.08714505E-06
   2.24008274      0.134053349       8.49896314E-05   3.92505717E-05   7.33843190E-05
   2.52525496      0.151118994       2.15986132E-04   4.15456416E-05   1.40853488E-04
   2.84673119      0.170357108       2.34603634E-04   4.23492493E-05   2.00875875E-04
   3.20913243      0.192044258       3.00127111E-04   4.34464637E-05   2.68485717E-04
   3.61766911      0.216492414       4.04457242E-04   4.55918344E-05   3.51391267E-04
   4.07821417      0.244052768       5.08132973E-04   4.82204050E-05   4.46796214E-04
   4.59738922      0.275121927       5.12920553E-04   5.25381292E-05   5.50162804E-04
   5.18265676      0.310145855       6.68525579E-04   5.87193899E-05   6.80899597E-04
   5.84243155      0.349628925       7.83726980E-04   6.74909825E-05   8.64539645E-04
   6.58619881      0.394138336       1.11986615E-03   8.00832131E-05   1.08612597E-03
   7.42465115      0.444313765       1.03920489E-03   9.90246408E-05   1.06921385E-03
   8.36984158      0.500877142       1.24729925E-03   1.28607819E-04   1.17830827E-03
   9.43535995      0.564640522       1.47206755E-03   1.82541873E-04   1.36676768E-03
